DATE,TICKER,COMNAM,PRIMEXCH,PRC,VOL,SHROUT,CFACPR,CFACSHR,SPRTRN
20140929,UNH,UNITEDHEALTH GROUP INC,N,86.51,3114772,971625,1,1,-0.002547
20140930,UNH,UNITEDHEALTH GROUP INC,N,86.25,2843214,971625,1,1,-0.002786
20141001,UNH,UNITEDHEALTH GROUP INC,N,84.88,4140232,971625,1,1,-0.013249
20141002,UNH,UNITEDHEALTH GROUP INC,N,84.9,3046995,971625,1,1,0.000005
20141003,UNH,UNITEDHEALTH GROUP INC,N,86.02,3108080,971625,1,1,0.011166
20141006,UNH,UNITEDHEALTH GROUP INC,N,85.09,2596071,971625,1,1,-0.001565
20141007,UNH,UNITEDHEALTH GROUP INC,N,84.19,3416980,971625,1,1,-0.015126
20141008,UNH,UNITEDHEALTH GROUP INC,N,86.62,4791144,971625,1,1,0.017462
20141009,UNH,UNITEDHEALTH GROUP INC,N,84.94,4432816,971625,1,1,-0.020661
20141010,UNH,UNITEDHEALTH GROUP INC,N,85.39,4036846,971625,1,1,-0.011451
20141013,UNH,UNITEDHEALTH GROUP INC,N,83.95,3677943,971625,1,1,-0.016468
20141014,UNH,UNITEDHEALTH GROUP INC,N,82.82,5929537,971625,1,1,0.001579
20141015,UNH,UNITEDHEALTH GROUP INC,N,82.16,8308870,971625,1,1,-0.0081
20141016,UNH,UNITEDHEALTH GROUP INC,N,85.39,10233059,971625,1,1,0.000145
20141017,UNH,UNITEDHEALTH GROUP INC,N,88.18,8532850,971625,1,1,0.012884
20141020,UNH,UNITEDHEALTH GROUP INC,N,88.54,4895885,971625,1,1,0.009143
20141021,UNH,UNITEDHEALTH GROUP INC,N,90.95,5882176,971625,1,1,0.019574
20141022,UNH,UNITEDHEALTH GROUP INC,N,89.77,4290410,971625,1,1,-0.007299
20141023,UNH,UNITEDHEALTH GROUP INC,N,90.66,3159178,971625,1,1,0.012303
20141024,UNH,UNITEDHEALTH GROUP INC,N,91.64,2977336,971625,1,1,0.007053
20141027,UNH,UNITEDHEALTH GROUP INC,N,92.13,3948931,971625,1,1,-0.001502
20141028,UNH,UNITEDHEALTH GROUP INC,N,92.64,4751011,971625,1,1,0.011939
20141029,UNH,UNITEDHEALTH GROUP INC,N,92.96,4330718,971625,1,1,-0.001385
20141030,UNH,UNITEDHEALTH GROUP INC,N,93.88,2836374,971625,1,1,0.00623
20141031,UNH,UNITEDHEALTH GROUP INC,N,95.01,5031542,971625,1,1,0.011731
20141103,UNH,UNITEDHEALTH GROUP INC,N,94.86,4004311,971625,1,1,-0.000119
20141104,UNH,UNITEDHEALTH GROUP INC,N,94.98,4437644,971625,1,1,-0.00283
20141105,UNH,UNITEDHEALTH GROUP INC,N,95.8,3454715,971625,1,1,0.005701
20141106,UNH,UNITEDHEALTH GROUP INC,N,96.21,3743249,971625,1,1,0.003776
20141107,UNH,UNITEDHEALTH GROUP INC,N,93.61,6155418,971625,1,1,0.00035
20141110,UNH,UNITEDHEALTH GROUP INC,N,94.75,4087673,971625,1,1,0.00312
20141111,UNH,UNITEDHEALTH GROUP INC,N,95.69,2291363,971625,1,1,0.000697
20141112,UNH,UNITEDHEALTH GROUP INC,N,95.68,2897661,971625,1,1,-0.000701
