PERMNO,date,TICKER,PRIMEXCH,HSICCD,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
14593,20160831,AAPL,Q,3571,106.1,6322814,0.023606,5388443,1,1
14593,20160930,AAPL,Q,3571,113.05,9701084,0.065504,5388443,1,1
14593,20161031,AAPL,Q,3571,113.54,6880542,0.004334,5332313,1,1
14593,20161130,AAPL,Q,3571,110.52,7252313,-0.021578,5332313,1,1
14593,20161230,AAPL,Q,3571,115.82,6107580,0.047955,5257816,1,1
14593,20170131,AAPL,Q,3571,121.35,5633445,0.047746,5246540,1,1
14593,20170228,AAPL,Q,3571,136.99001,5765024,0.133581,5246540,1,1
14593,20170331,AAPL,Q,3571,143.66,5625243,0.04869,5205815,1,1
14593,20170428,AAPL,Q,3571,143.64999,3744562,-0.00007,5213840,1,1
14593,20170531,AAPL,Q,3571,152.75999,6555619,0.067804,5213840,1,1
14593,20170630,AAPL,Q,3571,144.02,6847120,-0.057214,5169782,1,1
14593,20170731,AAPL,Q,3571,148.73,4222408,0.032704,5165228,1,1
14593,20170831,AAPL,Q,3571,164,6617859,0.106905,5165228,1,1
14593,20170929,AAPL,Q,3571,154.12,6805415,-0.060244,5126201,1,1
14593,20171031,AAPL,Q,3571,169.03999,5043862,0.096808,5134312,1,1
14593,20171130,AAPL,Q,3571,171.85001,6016020,0.02035,5134312,1,1
14593,20171229,AAPL,Q,3571,169.23,5319099,-0.015246,5087056,1,1
84788,20130131,AMZN,Q,7370,265.5,886216,0.058317,454551,1,1
84788,20130228,AMZN,Q,7370,264.26999,721653,-0.004633,454967,1,1
84788,20130328,AMZN,Q,7370,266.48999,622783,0.008401,455000,1,1
84788,20130430,AMZN,Q,7370,253.81,822621,-0.047581,455243,1,1
84788,20130531,AMZN,Q,7370,269.20001,629395,0.060636,455243,1,1
84788,20130628,AMZN,Q,7370,277.69,625412,0.031538,457000,1,1
84788,20130731,AMZN,Q,7370,301.22,712775,0.084735,456884,1,1
84788,20130830,AMZN,Q,7370,280.98001,463909,-0.067193,456884,1,1
84788,20130930,AMZN,Q,7370,312.64001,464037,0.112677,458000,1,1
84788,20131031,AMZN,Q,7370,364.03,823283,0.164374,457734,1,1
84788,20131129,AMZN,Q,7370,393.62,576040,0.081285,457734,1,1
84788,20131231,AMZN,Q,7370,398.79001,562732,0.013135,459000,1,1
84788,20140131,AMZN,Q,7370,358.69,811011,-0.100554,459265,1,1
84788,20140228,AMZN,Q,7370,362.10001,831240,0.009507,459894,1,1
84788,20140331,AMZN,Q,7370,336.36499,753679,-0.071072,460000,1,1
84788,20140430,AMZN,Q,7370,304.13,1383566,-0.095833,460167,1,1
84788,20140530,AMZN,Q,7370,312.54999,788313,0.027685,460167,1,1
84788,20140630,AMZN,Q,7370,324.78,768726,0.03913,462000,1,1
84788,20140731,AMZN,Q,7370,312.98999,994989,-0.036302,462036,1,1
84788,20140829,AMZN,Q,7370,339.04001,620794,0.08323,462036,1,1
84788,20140930,AMZN,Q,7370,322.44,681127,-0.048962,463000,1,1
84788,20141031,AMZN,Q,7370,305.45999,1112257,-0.052661,463006,1,1
84788,20141128,AMZN,Q,7370,338.64001,689940,0.108623,463006,1,1
84788,20141231,AMZN,Q,7370,310.35001,869005,-0.08354,464384,1,1
84788,20150130,AMZN,Q,7370,354.53,1031093,0.142355,464384,1,1
84788,20150227,AMZN,Q,7370,380.16,708518,0.072293,465393,1,1
84788,20150331,AMZN,Q,7370,372.10001,555089,-0.021202,466000,1,1
84788,20150430,AMZN,Q,7370,421.78,844127,0.133512,465681,1,1
84788,20150529,AMZN,Q,7370,429.23001,519909,0.017663,465681,1,1
84788,20150630,AMZN,Q,7370,434.09,550218,0.011323,468000,1,1
84788,20150731,AMZN,Q,7370,536.15002,1021489,0.235113,467710,1,1
84788,20150831,AMZN,Q,7370,512.89001,829193,-0.043383,467710,1,1
84788,20150930,AMZN,Q,7370,511.89001,767961,-0.00195,469000,1,1
84788,20151030,AMZN,Q,7370,625.90002,972463,0.222724,468762,1,1
84788,20151130,AMZN,Q,7370,664.79999,873058,0.06215,468762,1,1
84788,20151231,AMZN,Q,7370,675.89001,902288,0.016682,471000,1,1
84788,20160129,AMZN,Q,7370,587,1302119,-0.131516,470842,1,1
84788,20160229,AMZN,Q,7370,552.52002,1242930,-0.058739,470899,1,1
84788,20160331,AMZN,Q,7370,593.64001,940262,0.074423,472000,1,1
84788,20160429,AMZN,Q,7370,659.59003,784958,0.111094,471828,1,1
84788,20160531,AMZN,Q,7370,722.78998,906270,0.095817,471828,1,1
84788,20160630,AMZN,Q,7370,715.62,746082,-0.00992,474000,1,1
84788,20160729,AMZN,Q,7370,758.81,686568,0.060353,474074,1,1
84788,20160831,AMZN,Q,7370,769.15997,500139,0.01364,474074,1,1
84788,20160930,AMZN,Q,7370,837.31,673657,0.088603,475000,1,1
84788,20161031,AMZN,Q,7370,789.82001,770705,-0.056717,475167,1,1
84788,20161130,AMZN,Q,7370,750.57001,1100918,-0.049695,475167,1,1
84788,20161230,AMZN,Q,7370,749.87,736693,-0.000933,477000,1,1
84788,20170131,AMZN,Q,7370,823.47998,707189,0.098164,477171,1,1
84788,20170228,AMZN,Q,7370,845.03998,717536,0.026182,477615,1,1
84788,20170331,AMZN,Q,7370,886.53998,607266,0.04911,478000,1,1
84788,20170428,AMZN,Q,7370,924.98999,735435,0.043371,477975,1,1
84788,20170531,AMZN,Q,7370,994.62,762487,0.075276,477975,1,1
84788,20170630,AMZN,Q,7370,968,961813,-0.026764,480000,1,1
84788,20170731,AMZN,Q,7370,987.78003,788729,0.020434,480380,1,1
84788,20170831,AMZN,Q,7370,980.59998,774232,-0.007269,480380,1,1
84788,20170929,AMZN,Q,7370,961.34998,594091,-0.019631,482000,1,1
84788,20171031,AMZN,Q,7370,1105.28003,833449,0.149717,481872,1,1
84788,20171130,AMZN,Q,7370,1176.75,771775,0.064662,481872,1,1
84788,20171229,AMZN,Q,7370,1169.46997,580139,-0.006187,481872,1,1
90319,20130131,GOOGL,Q,7375,755.69,567193,0.068294,267500,1.9969,1
90319,20130228,GOOGL,Q,7375,801.20001,501759,0.060223,267500,1.9969,1
90319,20130328,GOOGL,Q,7375,794.18799,464670,-0.008752,270165,1.9969,1
90319,20130430,GOOGL,Q,7375,824.57001,581493,0.038255,271123,1.9969,1
90319,20130531,GOOGL,Q,7375,871.21802,536406,0.056573,271123,1.9969,1
90319,20130628,GOOGL,Q,7375,880.37,522624,0.010505,273938,1.9969,1
90319,20130731,GOOGL,Q,7375,887.75,549294,0.008383,273938,1.9969,1
90319,20130830,GOOGL,Q,7375,846.90002,365980,-0.046015,273938,1.9969,1
90319,20130930,GOOGL,Q,7375,875.90997,361648,0.034254,276681,1.9969,1
90319,20131031,GOOGL,Q,7375,1030.57996,605090,0.176582,276722,1.9969,1
90319,20131129,GOOGL,Q,7375,1059.58997,292384,0.028149,276722,1.9969,1
90319,20131231,GOOGL,Q,7375,1120.70996,343998,0.057683,279325,1.9969,1
90319,20140131,GOOGL,Q,7375,1180.96997,544462,0.053769,279883,1.9969,1
90319,20140228,GOOGL,Q,7375,1215.65002,406458,0.029366,279883,1.9969,1
90319,20140331,GOOGL,Q,7375,1114.51001,437178,-0.083198,281557,1.9969,1
90319,20140430,GOOGL,Q,7375,534.88,668562,-0.04164,281668,1,1
90319,20140530,GOOGL,Q,7375,571.65002,414818,0.068744,281668,1,1
90319,20140630,GOOGL,Q,7375,584.66998,395524,0.022776,279325,1,1
90319,20140731,GOOGL,Q,7375,579.54999,386303,-0.008757,283356,1,1
90319,20140829,GOOGL,Q,7375,582.35999,291337,0.004849,283356,1,1
90319,20140930,GOOGL,Q,7375,588.40997,354659,0.010389,284674,1,1
90319,20141031,GOOGL,Q,7375,567.87,555098,-0.034908,284816,1,1
90319,20141128,GOOGL,Q,7375,549.08002,297813,-0.033089,284816,1,1
90319,20141231,GOOGL,Q,7375,530.65997,545641,-0.033547,286560,1,1
90319,20150130,GOOGL,Q,7375,537.54999,528858,0.012984,286938,1,1
90319,20150227,GOOGL,Q,7375,562.63,404272,0.046656,286938,1,1
90319,20150331,GOOGL,Q,7375,554.70001,432093,-0.014095,288198,1,1
90319,20150430,GOOGL,Q,7375,548.77002,438535,-0.01069,288265,1,1
90319,20150529,GOOGL,Q,7375,545.32001,324229,-0.006287,288265,1,1
90319,20150630,GOOGL,Q,7375,540.03998,354183,-0.009682,289834,1,1
90319,20150731,GOOGL,Q,7375,657.5,685601,0.217502,289886,1,1
90319,20150831,GOOGL,Q,7375,647.82001,553590,-0.014722,289886,1,1
90319,20150930,GOOGL,Q,7375,638.37,436385,-0.014587,291214,1,1
90319,20151030,GOOGL,Q,7375,737.39001,503467,0.155114,291328,1,1
90319,20151130,GOOGL,Q,7375,762.84998,375780,0.034527,291328,1,1
